poet_id,poem_id,v_order,poem_text,metre,metre_2
4,1826,1624,که دارد توانایی و نیک نام,فعولن فعولن فعولن فعل,U--U--U--U-
7,10347,8,محال است دوزندگی از سگان,فعولن فعولن فعولن فعل,U--U--U--U-
6,9082,43,شه چو نان پاره شبان را دید,فعلاتن مفاعلن فعلن,UU--U-U-UU-
4,1509,3611,طبق‌های زرین و پیروزه جام,فعولن فعولن فعولن فعل,U--U--U--U-
10,49456,29,گشت حاصل هرآنچه او مسؤول,فعلاتن مفاعلن فعلن,UU--U-U-UU-
5,7914,43,گر میسر کردن حق ره بدی,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,36541,957,کنم پنهان و با شبلی بگویم,مفاعیلن مفاعیلن فعولن,U---U---U--
7,10433,14,عجب گر بیفتی نگیردت دست,فعولن فعولن فعولن فعل,U--U--U--U-
9,36658,34,سینه‌ها روشن از او چون شمع شد,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,11293,11,ز سرگشتگی زیر چوگان چرخ,فعولن فعولن فعولن فعل,U--U--U--U-
10,12602,14,سبب خواجگی و مرتبت و جاه کنید,فعلاتن فعلاتن فعلاتن فعلن,UU--UU--UU--UU-
4,1688,38,نگوید جهاندار تاریخشان,فعولن فعولن فعولن فعل,U--U--U--U-
9,36088,1,شمع آمد و گفت: جانِ من میسوزد,مفعول مفاعیل مفاعیل فعل,--UU--UU--UU-
64,69685,78,چرخ با تو یکدل است و بخت با تو سازگار,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
9,33425,63,بدان ماند که یک شب درچنان کار,مفاعیلن مفاعیلن فعولن,U---U---U--
9,12068,8,منقطع گردد همه اومید پاک,فاعلاتن فاعلاتن فاعلن,-U---U---U-
52,49138,505,ز خوشیّ و خوی و خردمندیم,فعولن فعولن فعولن فعل,U--U--U--U-
24,65967,11,با تو آنان که در جنگ زدند,فعلاتن فعلاتن فعلن,UU--UU--UU-
4,1501,133,بدو گفت کین کاویانی درفش,فعولن فعولن فعولن فعل,U--U--U--U-
9,36679,8,وز همان خرقه که من پوشیده‌ام,فاعلاتن فاعلاتن فاعلن,-U---U---U-
4,1509,3828,که از گرد شد آسمان ناپدید,فعولن فعولن فعولن فعل,U--U--U--U-
63,69332,98,کز خوردنش همای کند قصد زعفران,مفعول فاعلات مفاعیل فاعلن,--U-U-UU--U-U-
52,49237,60,بد و نیک بـــــــــــرداشتندی به شاه,فعولن فعولن فعولن فعل,U--U--U--U-
18,15866,13,چند ازین گرچه برگ این دارم,فعلاتن مفاعلن فعلن,UU--U-U-UU-
18,15949,25,هرچه ناکردهٔ عزم تو، قضا فسخ شمرد,فعلاتن فعلاتن فعلاتن فعلن,UU--UU--UU--UU-
42,40256,4,«مرا ای کاشکی مادر نزادی»,مفاعیلن مفاعیلن فعولن,U---U---U--
4,1682,73,نگر تا که بینی به گرد جهان,فعولن فعولن فعولن فعل,U--U--U--U-
5,3777,11,چو خلق بر کف دستت نهند چون سیماب,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
5,5142,9,برو بی‌سر به میخانه بخور بی‌رطل و پیمانه,مفاعیلن مفاعیلن مفاعیلن مفاعیلن,U---U---U---U---
18,16044,74,صید کم ناید چو مستظهر بود از دانه دام,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
9,37296,52,در هوا و در زمین رفتار داد,فاعلاتن فاعلاتن فاعلن,-U---U---U-
5,5753,5,ایا ساقی جان هر متقی,فعولن فعولن فعولن فعل,U--U--U--U-
34,24264,28,مادر سر سفره را به هم کرد,مفعول مفاعلن فعولن,--UU-U-U--
6,9056,49,مگر اقبال از آن طرف یابد,فعلاتن مفاعلن فعلن,UU--U-U-UU-
5,8768,15,بر مراد دل همی‌گشت او بر آب,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,33709,190,تفکر کن دمی در سر دنیا,مفاعیلن مفاعیلن فعولن,U---U---U--
5,4661,4,باغ است و آب حیوان گر آذر است مردن,مفعول فاعلاتن مفعول فاعلاتن,--U-U----U-U--
24,65811,19,آن به هر دولتش نوید آرد,فعلاتن مفاعلن فعلن,UU--U-U-UU-
4,1343,62,یکی بوستان بود بس دلگشای,فعولن فعولن فعولن فعل,U--U--U--U-
24,65968,16,بلکه خورشید صفت زر بارد,فعلاتن فعلاتن فعلن,UU--UU--UU-
4,1634,63,همه پادشاهی سکندر گرفت,فعولن فعولن فعولن فعل,U--U--U--U-
9,36561,212,خیالاتت ز بام و در گرفتست,مفاعیلن مفاعیلن فعولن,U---U---U--
6,9190,54,پذیرفته‌ها را به قاصد سپرد,فعولن فعولن فعولن فعل,U--U--U--U-
5,4278,6,تا نگویی که در این عشق تو ما مختصریم,فعلاتن فعلاتن فعلاتن فعلن,UU--UU--UU--UU-
10,49399,42,حرف او را حجاب او دیدی,فعلاتن مفاعلن فعلن,UU--U-U-UU-
5,8197,31,گفت این دم با قیامت شد شبیه,فاعلاتن فاعلاتن فاعلن,-U---U---U-
5,4577,2,آفرین‌ها بر جمالت همچنین جان همچنین,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
5,3879,22,بشنود آواز الله اکبرش,فاعلاتن فاعلاتن فاعلن,-U---U---U-
10,49404,11,حنجره در سرود نیک آید,فعلاتن مفاعلن فعلن,UU--U-U-UU-
9,37026,10,واندگر یک گرسنست این مشکلست,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,35976,2,چون شمع آرم به روز شبهای دراز,مفعول مفاعیل مفاعیل فعل,--UU--UU--UU-
7,10484,13,دل از محبت دنیا و آخرت خالی,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
5,8424,7,غیرفهم و جان که در گاو و خرست,فاعلاتن فاعلاتن فاعلن,-U---U---U-
10,12494,11,از جمع غلامان تو حقا که درین شهر,مفعول مفاعیل مفاعیل فعولن,--UU--UU--UU--
7,10565,25,به گرد خیمهٔ اسلام شقه‌ای بزنی,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
4,1917,134,خیو زیر لبها برافشاندند,فعولن فعولن فعولن فعل,U--U--U--U-
4,1590,20,هم‌اندر هوا پر کرگس بسوخت,فعولن فعولن فعولن فعل,U--U--U--U-
9,36529,289,نگنجد هیچ جز دیدار تحقیق,مفاعیلن مفاعیلن فعولن,U---U---U--
64,69797,36,و اندر مشاورت نه چو تو هیچ موتمن,مفعول فاعلات مفاعیل فاعلن,--U-U-UU--U-U-
5,5153,13,مها چشمی که او روزی بدید آن چشم پرنورت,مفاعیلن مفاعیلن مفاعیلن مفاعیلن,U---U---U---U---
5,4810,19,ز غیرت حق شد حارس و گر نی,مفاعیلن مفاعیلن فعولن,U---U---U--
4,1826,148,جهانی بروبر کنند آفرین,فعولن فعولن فعولن فعل,U--U--U--U-
5,5189,8,زین شکل برون جستی در شکل دگر رفتی,مفعول مفاعیلن مفعول مفاعیلن,--UU-----UU---
7,10509,12,خالق صبح و برآرندهٔ خورشید منیری,فعلاتن فعلاتن فعلاتن فعلاتن,UU--UU--UU--UU--
9,33850,370,وزان پس درشدن دستوریم ده,مفاعیلن مفاعیلن فعولن,U---U---U--
42,39691,29,آن ادب پروردهٔ صبر و رضا,فاعلاتن فاعلاتن فاعلن,-U---U---U-
34,61619,16,که بر صلایه زرین درمنه نتوان سود,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
9,36537,91,همه اندر پی دنیای مردار,مفاعیلن مفاعیلن فعولن,U---U---U--
4,52177,305,بدو گفت شاه این نه کارمنست,فعولن فعولن فعولن فعل,U--U--U--U-
10,49669,48,از سرِ لطف نز سرِ پیکار,فعلاتن مفاعلن فعلن,UU--U-U-UU-
34,62044,5,قدمی کو به راه عشق شتافت,فعلاتن مفاعلن فعلن,UU--U-U-UU-
13,14028,17,با مردم هشیار فصیح است اگر چند,مفعول مفاعیل مفاعیل فعولن,--UU--UU--UU--
5,8124,57,قوم موسی راه می‌پیموده‌اند,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,33702,8,که نام اوست با نام خدا جفت,مفاعیلن مفاعیلن فعولن,U---U---U--
9,33707,24,برین دنیای دون تکبیر کردی,مفاعیلن مفاعیلن فعولن,U---U---U--
4,1482,225,به سودابه فرمود تا پیش اوی,فعولن فعولن فعولن فعل,U--U--U--U-
34,60646,17,بدو گفتم که چون کشتی مراتر کن زبان باری,مفاعیلن مفاعیلن مفاعیلن مفاعیلن,U---U---U---U---
9,11347,31,هرگاه که این میسرم شد,مفعول مفاعلن فعولن,--UU-U-U--
10,49670,5,شد از این دست جور سخت کمان,فعلاتن مفاعلن فعلن,UU--U-U-UU-
5,5148,15,روید ای عاشقان حق به اقبال ابد ملحق,مفاعیلن مفاعیلن مفاعیلن مفاعیلن,U---U---U---U---
9,12057,94,خویش را مشغول می‌دارم بدین,فاعلاتن فاعلاتن فاعلن,-U---U---U-
7,9717,8,در هر دو جهان من آن فقیرم,مفعول مفاعلن فعولن,--UU-U-U--
11,13240,4,حال تنها گرد، تنها گرد، می‌داند که چیست,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
10,49666,30,مال و ملک یتیمگان خوردن,فعلاتن مفاعلن فعلن,UU--U-U-UU-
5,8087,135,چون عمل کردی شجر بنشاندی,فاعلاتن فاعلاتن فاعلن,-U---U---U-
5,3583,8,که قدر و قیمت خود را بها توانی کرد,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
13,14112,80,خوار و تشنه گر ازینان روی زی جیحون کنی,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
9,11243,1,آنها که پای در ره تقوی نهاده‌اند,مفعول فاعلات مفاعیل فاعلن,--U-U-UU--U-U-
42,40232,10,الامان از صبح و از شام الامان,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,33892,118,بصد خواری در این اندیشه میری,مفاعیلن مفاعیلن فعولن,U---U---U--
9,37217,16,جای چون بهرام درگورت بود,فاعلاتن فاعلاتن فاعلن,-U---U---U-
18,28321,56,به خرابی و به آبادانی,فعلاتن فعلاتن فعلن,UU--UU--UU-
9,37300,51,از طلب آن در ترا حاصل شود,فاعلاتن فاعلاتن فاعلن,-U---U---U-
5,8829,80,جمله یک چیزست اندر اعتبار,فاعلاتن فاعلاتن فاعلن,-U---U---U-
13,14153,64,ازانک از جوانی کنون بر زیانی,فعولن فعولن فعولن فعولن,U--U--U--U--
34,61227,16,یادگار این فتنه ها بر من ز خوی دل بماند,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
5,4645,10,پای نه بر بام هفتم آسمان,فاعلاتن فاعلاتن فاعلن,-U---U---U-
34,60980,7,هنوز می کشدم دل به زلفت، ار چه مرا,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
9,33776,61,چخیدن هم چو آتش کی بود سود,مفاعیلن مفاعیلن فعولن,U---U---U--
9,33876,202,همه کار سپاهان معتبر کرد,مفاعیلن مفاعیلن فعولن,U---U---U--
4,1502,337,که ما بندگانیم و شاهی تراست,فعولن فعولن فعولن فعل,U--U--U--U-
10,49567,44,لقمه در معده‌ات برآشوبد,فعلاتن مفاعلن فعلن,UU--U-U-UU-
24,65746,13,سنبل تر دمیده از سمنش,فعلاتن مفاعلن فعلن,UU--U-U-UU-
4,1530,51,نشست او به ایران به پیغمبری,فعولن فعولن فعولن فعل,U--U--U--U-
9,36591,470,چودر جان رخ نمودش آن سرافراز,مفاعیلن مفاعیلن فعولن,U---U---U--
5,8088,59,هست بر مؤمن شهیدی زندگی,فاعلاتن فاعلاتن فاعلن,-U---U---U-
6,9208,183,یکی مادیان بایدش تندرست,فعولن فعولن فعولن فعل,U--U--U--U-
5,8113,13,هست معذوریش معذوری من,فاعلاتن فاعلاتن فاعلن,-U---U---U-
19,18218,1,راستی کن، که راستان رستند,فعلاتن مفاعلن فعلن,UU--U-U-UU-
42,39681,71,زانکه ما را فطرت ابراهیمی است,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,37146,1,در وصف تو عقل طبع دیوانه گرفت,مفعول مفاعیل مفاعیل فعل,--UU--UU--UU-
24,66161,15,به جای خود شه آن مرز کردش,مفاعیلن مفاعیلن فعولن,U---U---U--
9,36570,271,نگه کن عقل تو عقل جهانی,مفاعیلن مفاعیلن فعولن,U---U---U--
5,4700,25,بگو به هرچ بسوزی بسوز جز به فراق,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
9,33842,219,عجب ماندند از رویش جهانی,مفاعیلن مفاعیلن فعولن,U---U---U--
9,33463,7,بگو تا حالِ تو با زن چه گونه است,مفاعیلن مفاعیلن فعولن,U---U---U--
9,11012,31,درین مجلس کسی باید که چون شمع,مفاعیلن مفاعیلن فعولن,U---U---U--
4,1488,296,بماندند ترکان ز کردار خویش,فعولن فعولن فعولن فعل,U--U--U--U-
4,1939,18,رکابش گران کرد و اندر شتافت,فعولن فعولن فعولن فعل,U--U--U--U-
5,8312,13,آسمان را داد دوران و صفا,فاعلاتن فاعلاتن فاعلن,-U---U---U-
4,1508,2059,بدان روز هرگز مبادا درود,فعولن فعولن فعولن فعل,U--U--U--U-
11,13744,43,شاه چو بر خواند در آمد ز جای,مفتعلن مفتعلن فاعلن,-UU--UU--U-
34,24275,7,باز این شب تیرهٔ جگر سوز,مفعول مفاعلن فعولن,--UU-U-U--
5,7930,13,اندر آ و آب بین آتش‌مثال,فاعلاتن فاعلاتن فاعلن,-U---U---U-
13,14034,31,پیش که بربایدت ز معدن الفنج,مفتعلن فاعلات مفتعلن فع,-UU--U-U-UU--
5,4226,60,هر که در سر افکند ماننده دامان صیام,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
7,9422,9,رنجور عشق به نشود جز به بوی یار,مفعول فاعلات مفاعیل فاعلن,--U-U-UU--U-U-
4,1890,69,ابا همگنانتان بتر زان کند,فعولن فعولن فعولن فعل,U--U--U--U-
9,12005,14,از اضافت آید افسوسم بکس,فاعلاتن فاعلاتن فاعلن,-U---U---U-
6,9078,170,صبح بر ناقه بست زرین کوس,فعلاتن مفاعلن فعلن,UU--U-U-UU-
6,9004,197,این سفره ز پشت بار برگیر,مفعول مفاعلن فعولن,--UU-U-U--
34,24264,13,شست از نم دیدگان نخستش,مفعول مفاعلن فعولن,--UU-U-U--
13,13994,16,حسنت زعروس عرش زیور,مفعول مفاعلن فعولن,--UU-U-U--
9,36514,475,تمامت سالکان از جان بدیدند,مفاعیلن مفاعیلن فعولن,U---U---U--
4,1634,77,کسی کاندرین جنگ سستی کند,فعولن فعولن فعولن فعل,U--U--U--U-
24,66109,122,به بیهوشی خود هشیاریش داد,مفاعیلن مفاعیلن فعولن,U---U---U--
6,9037,205,جان داد و به جانور جهان داد,مفعول مفاعلن فعولن,--UU-U-U--
9,33843,635,چو من بر حوض زرّین غوطه خوردم,مفاعیلن مفاعیلن فعولن,U---U---U--
10,49506,34,لیک هستند مدّعی بسیار,فعلاتن مفاعلن فعلن,UU--U-U-UU-
19,17695,16,چون دل اندر ناپسندی بسته‌ای,فاعلاتن فاعلاتن فاعلن,-U---U---U-
5,3697,9,آب جان محبوس می‌بینم در این گرداب تن,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
9,35167,4,لیکن تو نه در سری نه در پای پدید,مفعول مفاعیل مفاعیل فعل,--UU--UU--UU-
9,36472,130,گذشت از جسم و جان جمله ذرات,مفاعیلن مفاعیلن فعولن,U---U---U--
10,49752,24,که از آن خانه جای غمخواریست,فعلاتن مفاعلن فعلن,UU--U-U-UU-
9,36584,231,در آخر دل یکی دیدار یابی,مفاعیلن مفاعیلن فعولن,U---U---U--
5,5323,5,خلایق همچو کشت و تو بهاری,مفاعیلن مفاعیلن فعولن,U---U---U--
5,8798,24,آن خیال نفس تست آنجا مه‌ایست,فاعلاتن فاعلاتن فاعلن,-U---U---U-
4,1507,130,ازیشان بما بر چه مایه بلاست,فعولن فعولن فعولن فعل,U--U--U--U-
9,36999,2,در ظفر یک طفل هندو یافتند,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,11203,6,زین سبب ره سوی تو دشوار شد,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,37295,164,تو چه دانی تا چه با ما کردهاند,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,12005,5,گه گرفتی اشک در خاکستر او,فاعلاتن فاعلاتن فاعلن,-U---U---U-
5,4208,9,جمله مرغان به پر و بال خود پریده‌اند,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
5,8082,191,کان منافق در اگر گفتن بمرد,فاعلاتن فاعلاتن فاعلن,-U---U---U-
10,49448,153,لن تنالوا پی نظام انام,فعلاتن مفاعلن فعلن,UU--U-U-UU-
10,12543,59,آب چاهی باید اندر پیش کز یک قطره‌اش,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
34,62126,7,گم کرد، جانا، بر درت، هم جان و هم دل چاکرت,مستفعلن مستفعلن مستفعلن مستفعلن,--U---U---U---U-
9,36478,62,که بگشاید ترا این رازمشکل,مفاعیلن مفاعیلن فعولن,U---U---U--
5,5222,14,تو نیز نمی‌گنجی جز او که دهد یاری,مفعول مفاعیلن مفعول مفاعیلن,--UU-----UU---
9,36377,39,حجاب صورت آنجا باز بسته,مفاعیلن مفاعیلن فعولن,U---U---U--
19,17741,19,من به آب می بشویم نام خود، تا در قیامت,فاعلاتن فاعلاتن فاعلاتن فاعلاتن,-U---U---U---U--
24,65831,42,نیست مقدور طبیب آن را علاج,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,36516,371,اگر جانت شود رهبر همین است,مفاعیلن مفاعیلن فعولن,U---U---U--
9,11279,23,عشق را دردی بباید بی قرار,فاعلاتن فاعلاتن فاعلن,-U---U---U-
64,69770,25,از دیدن کام تو شود حاسدت اکمه,مفعول مفاعیل مفاعیل فعولن,--UU--UU--UU--
9,36924,18,او و من هر دو یکی باشیم و بس,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,36119,3,کس چون من اگر چه پای بر جا نبود,مفعول مفاعیل مفاعیل فعل,--UU--UU--UU-
10,39398,72, عقل و جان سحر مطلقش دانند,فعلاتن مفاعلن فعلن,UU--U-U-UU-
9,11060,23,تو او را حاصلی و او تورا گم,مفاعیلن مفاعیلن فعولن,U---U---U--
52,49261,113,نه هرچ آن بگویند باشد همان,فعولن فعولن فعولن فعل,U--U--U--U-
52,49161,86,به   چاره    شدند      اندرو     بی درنگ,فعولن فعولن فعولن فعل,U--U--U--U-
9,12046,38,بی میان بربند از لاشی کمر,فاعلاتن فاعلاتن فاعلن,-U---U---U-
6,9170,50,شد آراسته لشگری چون عروس,فعولن فعولن فعولن فعل,U--U--U--U-
34,61698,9,دلی بودم، شد آن پابند زلفت,مفاعیلن مفاعیلن فعولن,U---U---U--
5,29571,3,چندین خجل از کیست خجل پیدا نیست,مفعول مفاعیل مفاعیل فعل,--UU--UU--UU-
10,49296,35,خیر و شر نیست در جهانِ سخن,فعلاتن مفاعلن فعلن,UU--U-U-UU-
6,9271,62,گر سر موئی زسرت کم شود,مفتعلن مفتعلن فاعلن,-UU--UU--U-
5,8652,19,خسرو شیرین جان نوبت زدست,فاعلاتن فاعلاتن فاعلن,-U---U---U-
8,10858,16,نوشتند هر مبحثی را کتابی,فعولن فعولن فعولن فعولن,U--U--U--U--
18,16044,96,متصل اقبال بادی دایم از اجرام رام,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
4,1837,28,نیازد بکردار آهرمنی,فعولن فعولن فعولن فعل,U--U--U--U-
34,61268,11,خسروا، در موسم گل همچو بلبل مست باش,فاعلاتن فاعلاتن فاعلاتن فاعلن,-U---U---U---U-
6,9167,138,به خود بر چنین خواریی چون نهم,فعولن فعولن فعولن فعل,U--U--U--U-
19,18219,40,رحم بر منعم و فقیر کند,فعلاتن مفاعلن فعلن,UU--U-U-UU-
9,37306,2,گشت پیدا درد چشم او پدید,فاعلاتن فاعلاتن فاعلن,-U---U---U-
24,65715,10,پس زانوی خویش بنشستم,فعلاتن مفاعلن فعلن,UU--U-U-UU-
11,13816,362,مرا افتاد خو با مرد بتگر,مفاعیلن مفاعیلن فعولن,U---U---U--
18,15952,41,ناصر دین که شاخ دولت و دین,فعلاتن مفاعلن فعلن,UU--U-U-UU-
12,25210,11,شاد بوده‌ست از این جهان هرگز,فعلاتن مفاعلن فعلن,UU--U-U-UU-
19,17119,6,عنوان شگرفی رقم خط سیاهت,مفعول مفاعیل مفاعیل فعولن,--UU--UU--UU--
4,1876,116,همان نامور پهلوانی نماند,فعولن فعولن فعولن فعل,U--U--U--U-
42,39888,2,این سلسلهٔ موج که بینی همه دریاست,مفعول مفاعیل مفاعیل فعولن,--UU--UU--UU--
13,14040,73,وگر بپرسی از این مشکلات مر ما را,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
9,36597,286,حقیقت دور گردی از بن چاه,مفاعیلن مفاعیلن فعولن,U---U---U--
9,35370,2,بیصبری پروانه درآموخت مرا,مفعول مفاعیل مفاعیل فعل,--UU--UU--UU-
34,24184,71,عتاب پادشاهان سیل خونست,مفاعیلن مفاعیلن فعولن,U---U---U--
9,11904,63,پیش هدهد صد هزاران بیشتر,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,36571,335,نهان گردد در آن خلوتگه یار,مفاعیلن مفاعیلن فعولن,U---U---U--
5,4357,9,نه عشق آتش و جان من است سامندر,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
7,10126,4,در دنیی و آخرت هم او می‌خواهند,مفعول مفاعیل مفاعیل فعل,--UU--UU--UU-
13,14050,29,جز علم و عمل همی نورزم,مفعول مفاعلن فعولن,--UU-U-U--
5,4930,12,تا شیر خورد ز ایشان نبود شه میخواره,مفعول مفاعیلن مفعول مفاعیلن,--UU-----UU---
64,70067,1,شاها اثر صبوح کاری عجب است,مفعول مفاعیل مفاعیل فعل,--UU--UU--UU-
9,36542,23,بسی سالست تا اینجا نشستم,مفاعیلن مفاعیلن فعولن,U---U---U--
9,36545,233,نهانش واصلی آنجا عیان است,مفاعیلن مفاعیلن فعولن,U---U---U--
18,16026,5,سبزه چون دست به هم درزند اندر صحرا,فعلاتن فعلاتن فعلاتن فعلن,UU--UU--UU--UU-
5,5746,1,الا میر خوبان هلا تا نرنجی,فعولن فعولن فعولن فعولن,U--U--U--U--
26,20824,2,بی سرزنش خار جفا نتوان چید,مفعول مفاعیل مفاعیل فعل,--UU--UU--UU-
10,49554,1,روز دین دستِ دست رس نبود,فعلاتن مفاعلن فعلن,UU--U-U-UU-
2,2129,47,چراغ دیدهٔ محمود آنکه دشمن را,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
10,49781,2,نوبت شوخی و کم آزرمی است,فعلاتن مفاعلن فعلن,UU--U-U-UU-
7,10551,44,شب فراق به امید بامداد وصال,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
6,8923,53,به دستش آهن از دل گرم‌تر گشت,مفاعیلن مفاعیلن فعولن,U---U---U--
9,36617,31,رو تو راه راست را ازشاه پرس,فاعلاتن فاعلاتن فاعلن,-U---U---U-
9,36956,40,تا که در صندوق بردندش بشهر,فاعلاتن فاعلاتن فاعلن,-U---U---U-
64,69760,92,او راست مه و مهر یکی عم و یکی خال,مفاعلن فعلاتن مفاعلن فعلن,U-U-UU--U-U-UU-
9,33475,31,چه خواهی کرد آخر این ریاست,مفاعیلن مفاعیلن فعولن,U---U---U--
52,49176,21,دگر داد چندان به ایرانیان,فعولن فعولن فعولن فعل,U--U--U--U-
9,36571,62,از آن پیوسته زین بازند مانده,مفاعیلن مفاعیلن فعولن,U---U---U--
6,8897,12,جهانی وقف آتش خانه کردند,مفاعیلن مفاعیلن فعولن,U---U---U--
2,2255,8,ای ساروان فروکش کاین ره کران ندارد,مفعول فاعلاتن مفعول فاعلاتن,--U-U----U-U--
